time,lon,lat
00:05:34,98.7646,17.6818
00:05:35,98.7645,17.6818
00:05:36,98.7644,17.6817
00:05:37,98.7644,17.6816
00:05:38,98.7644,17.6816
00:05:39,98.7643,17.6815
00:05:40,98.7643,17.6815
00:05:41,98.7643,17.6814
00:05:42,98.7643,17.6814
00:05:43,98.7643,17.6812
00:05:44,98.7643,17.6812
00:05:45,98.7642,17.6811
00:05:46,98.7642,17.681
00:05:47,98.7642,17.6809
00:05:48,98.7642,17.6809
00:05:49,98.7642,17.6808
00:05:50,98.7642,17.6808
00:05:51,98.7642,17.6807
00:05:52,98.7643,17.6807
00:05:53,98.7643,17.6806
00:05:54,98.7643,17.6805
00:05:55,98.7644,17.6805
00:05:56,98.7644,17.6804
00:05:57,98.7644,17.6804
00:05:58,98.7644,17.6804
00:05:59,98.7644,17.6804
00:06:00,98.7644,17.6804
00:06:01,98.7644,17.6805
00:06:02,98.7644,17.6804
00:06:03,98.7644,17.6804
00:06:04,98.7645,17.6804
00:06:05,98.7645,17.6804
00:06:06,98.7645,17.6804
00:06:07,98.7645,17.6804
00:06:08,98.7645,17.6804
00:06:09,98.7646,17.6803
00:06:10,98.7646,17.6803
00:06:11,98.7646,17.6803
00:06:12,98.7647,17.6802
00:06:13,98.7647,17.6802
00:06:14,98.7647,17.6802
00:06:15,98.7648,17.6802
00:06:16,98.7648,17.6802
00:06:17,98.7648,17.6802
00:06:18,98.7649,17.6801
00:06:19,98.7649,17.6801
00:06:20,98.7649,17.6801
00:06:21,98.765,17.6801
00:06:22,98.765,17.68
00:06:23,98.7651,17.68
00:06:24,98.7652,17.6799
00:06:25,98.7653,17.6799
00:06:26,98.7653,17.6799
00:06:27,98.7654,17.6798
00:06:28,98.7654,17.6798
00:06:29,98.7655,17.6798
00:06:30,98.7655,17.6798
00:06:31,98.7656,17.6798
00:06:32,98.7657,17.6797
00:06:33,98.7658,17.6797
00:06:34,98.7658,17.6797
00:06:35,98.7659,17.6797
00:06:36,98.7659,17.6797
00:06:37,98.7659,17.6797
00:06:38,98.7659,17.6797
00:06:39,98.766,17.6796
00:06:40,98.766,17.6796
00:06:41,98.7661,17.6796
00:06:42,98.7662,17.6796
00:06:43,98.7662,17.6795
00:06:44,98.7663,17.6795
00:06:45,98.7664,17.6794
00:06:46,98.7665,17.6794
00:06:47,98.7666,17.6794
00:06:48,98.7667,17.6793
00:06:49,98.7668,17.6793
00:06:50,98.7669,17.6792
00:06:51,98.7669,17.6792
00:06:52,98.767,17.6792
00:06:53,98.767,17.6792
00:06:54,98.767,17.6792
00:06:55,98.767,17.6792
00:06:56,98.767,17.6792
00:06:57,98.767,17.6792
00:06:58,98.767,17.6792
00:06:59,98.767,17.6792
00:07:00,98.767,17.6792
00:07:01,98.767,17.6792
00:07:02,98.767,17.6792
00:07:03,98.767,17.6792
00:07:04,98.767,17.6792
00:07:05,98.7671,17.6792
00:07:06,98.7671,17.6792
00:07:07,98.7671,17.6792
00:07:08,98.7672,17.6792
00:07:09,98.7673,17.6792
00:07:10,98.7673,17.6792
00:07:11,98.7674,17.6792
00:07:12,98.7675,17.6792
00:07:13,98.7675,17.6792
00:07:14,98.7676,17.6793
00:07:15,98.7676,17.6793
00:07:16,98.7677,17.6793
00:07:17,98.7678,17.6794
00:07:18,98.7678,17.6794
00:07:19,98.7679,17.6795
00:07:20,98.7679,17.6795
00:07:21,98.768,17.6795
00:07:22,98.768,17.6795
00:07:23,98.768,17.6796
00:07:24,98.768,17.6796
00:07:25,98.7681,17.6796
00:07:26,98.7681,17.6796
00:07:27,98.7681,17.6796
00:07:28,98.7681,17.6797
00:07:29,98.7681,17.6797
00:07:30,98.7681,17.6797
00:07:31,98.7682,17.6797
